# Time-averaged data for fix myat2
# TimeStep v_delta_r
100 22.0428
200 22.4208
300 23.1098
400 23.5703
500 23.8613
600 24.6599
700 25.7338
800 26.6582
900 26.6492
1000 26.7892
1100 26.7981
1200 27.0194
1300 26.8568
1400 27.0977
1500 27.7658
1600 27.7074
1700 27.3132
1800 27.1852
1900 27.2408
2000 27.4503
2100 27.8075
2200 27.5192
2300 27.8753
2400 27.964
2500 27.6775
2600 26.9716
2700 26.5655
2800 26.697
2900 27.3149
3000 28.2539
3100 28.5221
3200 28.5556
3300 28.6603
3400 28.6854
3500 29.2987
3600 29.8589
3700 30.0813
3800 30.7525
3900 31.4138
4000 31.3327
4100 31.6137
4200 31.6552
4300 31.5478
4400 31.0362
4500 30.9475
4600 30.3969
4700 29.0169
4800 28.2391
4900 28.0245
5000 28.2723
5100 28.4386
5200 28.8794
5300 29.5271
5400 29.6701
5500 29.675
5600 28.8231
5700 28.6928
5800 28.6111
5900 27.8207
6000 27.1088
6100 27.1206
6200 26.7203
6300 26.4029
6400 26.0944
6500 26.0628
6600 26.1812
6700 26.5851
6800 26.2955
6900 25.8777
7000 25.271
7100 24.4672
7200 24.215
7300 23.434
7400 22.2775
7500 21.8648
7600 21.9602
7700 22.5337
7800 22.9859
7900 22.745
8000 22.3903
8100 21.6611
8200 20.4802
8300 20.4852
8400 21.2437
8500 21.4313
8600 21.2192
8700 21.2654
8800 21.3256
8900 21.5113
9000 21.8606
9100 22.1958
9200 22.1767
9300 21.8973
9400 21.8025
9500 21.6457
9600 21.1449
9700 20.7677
9800 20.3798
9900 20.2465
10000 20.253
10100 20.2843
10200 20.9373
10300 20.8051
10400 20.1897
10500 19.9357
10600 19.3059
10700 18.5707
10800 18.7091
10900 19.0953
11000 19.0027
11100 19.3705
11200 19.7161
11300 19.6943
11400 19.8903
11500 20.3051
11600 20.7885
11700 20.8692
11800 20.7222
11900 20.3066
12000 20.0637
12100 20.1697
12200 21.6227
12300 22.1135
12400 21.7135
12500 21.9713
12600 22.2236
12700 22.32
12800 22.7528
12900 22.8374
13000 22.1632
13100 21.8616
13200 22.6629
13300 23.0547
13400 23.2338
13500 23.9629
13600 24.383
13700 23.867
13800 23.1772
13900 23.4983
14000 23.9816
14100 24.0563
14200 24.6191
14300 25.4029
14400 25.4945
14500 25.3336
14600 24.6337
14700 24.6202
14800 23.8774
14900 23.7558
15000 24.2991
15100 24.7414
15200 24.9764
15300 25.2356
15400 25.1296
15500 24.504
15600 24.2869
15700 24.2216
15800 24.4987
15900 24.3714
16000 24.0839
16100 23.5494
16200 23.3699
16300 23.1461
16400 22.1106
16500 21.0853
16600 20.5148
16700 20.4911
16800 20.3716
16900 21.0276
17000 21.1401
17100 20.3901
17200 19.7367
17300 19.3948
17400 19.601
17500 19.5527
17600 19.5818
17700 20.8326
17800 21.823
17900 22.381
18000 22.3982
18100 21.7116
18200 21.5624
18300 21.6894
18400 21.4053
18500 21.0421
18600 21.2552
18700 21.4069
18800 21.3118
18900 21.379
19000 21.9541
19100 22.59
19200 22.6202
19300 22.8891
19400 23.3025
19500 23.3595
19600 23.5336
19700 23.473
19800 23.6261
19900 24.094
20000 24.4463
20100 25.0888
20200 25.6642
20300 26.3916
20400 26.6154
20500 26.6543
20600 26.5892
20700 26.0816
20800 25.6231
20900 24.911
21000 24.7764
21100 24.7478
21200 24.2888
21300 24.0505
21400 23.6156
21500 23.3643
21600 22.8371
21700 22.2271
21800 22.1852
21900 22.539
22000 22.6466
22100 22.2616
22200 21.6599
22300 21.4596
