#  Timestep    No_Moles    No_Specs   Si192O384
          5           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         10           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         15           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         20           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         25           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         30           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         35           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         40           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         45           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         50           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         55           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         60           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         65           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         70           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         75           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         80           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         85           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         90           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
         95           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        100           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        105           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        110           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        115           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        120           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        125           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        130           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        135           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        140           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        145           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        150           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        155           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        160           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        165           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        170           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        175           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        180           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        185           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        190           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        195           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        200           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        205           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        210           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        215           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        220           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        225           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        230           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        235           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        240           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        245           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        250           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        255           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        260           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        265           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        270           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        275           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        280           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        285           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        290           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        295           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        300           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        305           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        310           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        315           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        320           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        325           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        330           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        335           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        340           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        345           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        350           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        355           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        360           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        365           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        370           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        375           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        380           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        385           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        390           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        395           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        400           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        405           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        410           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
        415           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
